"","FTSE100_returns_1984.05.08","Nikkei225_returns_1990.09.27","SP500_returns_1982.04.23","US_2Y_Note_returns_1990.06.26","US_30Y_returns_1977.08.24","AUD_returns_1987.01.15","CHF_returns_1975.02.18","GBP_returns_1975.02.18","Copper_returns_1959.07.07","Cotton_returns_1972.08.24","Brent_Crude_returns_1993.03.19","Gas_Oil_returns_bereinigt_1989.12.13","Heating_Oil_returns_bereinigt_1979.03.08","Natural_Gas_returns_1990.04.05","Gold_returns_1975.01.03","Palladium_returns_1977.01.07","Platinum_returns_1969.01.06","Long_Gilt_returns_1990.08.21","US_5Y_Note_returns_1988.05.24","US_10Y_returns_1982.05.05"
"2008-09-04",0.0169933990892597,0,0.0344337962194354,0.775700793532092,0,0.00728186047741541,0,0.0373921779060248,0.0222853129513206,0,0.0223662819029432,0.0067628458148484,0,0,0,0,0.0355389827783643,0.0412445493282956,0,0
"2008-09-05",0.0167063277764216,0,0.0343611803123963,0.776061649184282,0,0.00711899244485548,0,0.0373466188490459,0.0221861499796926,0,0.0223722930510503,0.00670495843683004,0,0,0,0,0.0355282873707608,0.0416135425946646,0,0
"2008-09-08",0.0177732403707325,0,0.0343076786769953,0.774149500647042,0,0.00757514549296633,0,0.037321321075647,0.0220017628495331,0,0.0223861446878505,0.00675830174373068,0,0,0,0,0.0352360873751891,0.0424908170803137,0,0
"2008-09-09",0.0196566248750005,0,0.0324366154494423,0.775356102492362,0,0.00581332083493112,0,0.0389961555561822,0.0222426170471413,0,0.0220576965184772,0.00670054291183238,0,0,0,0,0.0329524017370601,0.0437879225775707,0,0
"2008-09-10",0.018685334670414,0,0.0335768063302484,0.779704154950509,0,0.00654010146552476,0,0.0378948601029637,0.0222838506447677,0,0.0221481469174104,0.00625627755042346,0,0,0,0,0.0305248964736454,0.0423855708940933,0,0
"2008-09-11",0.0174588267092868,0,0.0332977085133186,0.78317709663424,0,0.00696481178730392,0,0.0370244699739976,0.022383409497675,0,0.0221569822415926,0.00619274323405424,0,0,0,0,0.0300054260840685,0.0413385253244626,0,0
"2008-09-12",0.0175733708531026,0,0.0341544355404264,0.781083725673222,0,0.00654097337419251,0,0.0375080392112408,0.0224517576658054,0,0.0221809331855577,0.00620638076748487,0,0,0,0,0.030272700504916,0.0420276832240513,0,0
"2008-09-15",0.0158975472735805,0,0.0323772819508761,0.7897295220351,0,0.00639299763091081,0,0.0347012010861741,0.0229457112359502,0,0.0213857690271063,0.00636128756858084,0,0,0,0,0.0302947541104687,0.0399139280812522,0,0
"2008-09-16",0.0157827980182841,0,0.0344109555567252,0.792728999895283,0,0.00552698602013284,0,0.0334060806811892,0.0225749126732409,0,0.0208821938627655,0.00716498356023403,0,0,0,0,0.028098341407433,0.0394237483247125,0,0
"2008-09-17",0.0157826315517938,0,0.0344098467121042,0.79271611068167,0,0.00552133390092626,0,0.0334022034793679,0.0225752768785343,0,0.020889070170829,0.0071510251529914,0,0,0,0,0.028111722595973,0.0394407788758097,0,0
"2008-09-18",0.0156971111446569,0,0.0344476796058929,0.793112840078931,0,0.00559588853568997,0,0.0331784198992258,0.022566269597368,0,0.020953910956505,0.00708642910554997,0,0,0,0,0.0281464364804377,0.0392150145957429,0,0
"2008-09-19",0.0181210000288541,0,0.0340455904182204,0.782234718385784,0,0.00859827203755357,0,0.0376660504887124,0.0220676921364982,0,0.0218596592447191,0.00620470164630659,0,0,0,0,0.0284738184413551,0.0407284971719961,0,0
"2008-09-22",0.0187078244606871,0,0.0335221101836808,0.781424780217447,0,0.00835193906042241,0,0.0375776795943334,0.0221001961592436,0,0.0216024137788963,0.00658991012985772,0,0,0,0,0.0284254135641257,0.0416977328513057,0,0
"2008-09-23",0.0188274946237414,0,0.0332081956204336,0.781473826182983,0,0.00791327533140739,0,0.0378298289034571,0.0220509164312959,0,0.0212984990110063,0.00679415602887217,0,0,0,0,0.0280029354761007,0.0426008723907018,0,0
